op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
0,LinearOffChipLoad,LinearOffChipLoad_0,0.0,0,0.0,510.0,288,-222.0,510.0,288,-222.0,32.0,32,8.0,0,9,9,0,0,9
1,SelectGen,SelectGen_1,,0,,,0,,,0,,,32,,0,0,0,0,0,0
2,SelectGen,SelectGen_2,,0,,,0,,,0,,,64,,0,0,0,0,0,0
3,LinearOffChipLoad,LinearOffChipLoad_3,0.0,0,0.0,17210.0,384,-16826.0,17210.0,384,-16826.0,64.0,64,5.0,0,6,6,0,0,6
4,FlatPartition,FlatPartition_4 (0 D),9.0,9,0.0,553.0,3993,3440.0,544.0,3984,3440.0,32.0,32,17.0,16,16,128,0,0,25
5,Reshape,Reshape_5 (0 D) (chunk: 16),,25,,,145,,,120,,,16,,0,128,8,0,0,25
6,Flatten,"Flatten_6 (1 D, 2 D)",,25,,,145,,,120,,,16,,0,8,8,0,0,25
7,Accum,Accum_7 (1 D) (fn: RetileRow),549.0,25,-524.0,549.0,146,-403.0,0.0,121,121.0,1.0,1,0.0,1,16,16,0,120,146
8,Reshape,Reshape_8 (0 D) (chunk: 16),,25,,,145,,,120,,,16,,0,128,8,0,0,25
9,Flatten,"Flatten_9 (1 D, 2 D)",,25,,,145,,,120,,,16,,0,8,8,0,0,25
10,Accum,Accum_10 (1 D) (fn: RetileRow),560.0,25,-535.0,560.0,146,-414.0,0.0,121,121.0,1.0,1,0.0,1,16,16,0,120,146
11,Reshape,Reshape_11 (0 D) (chunk: 16),,25,,,145,,,120,,,16,,0,128,8,0,0,25
12,Flatten,"Flatten_12 (1 D, 2 D)",,25,,,145,,,120,,,16,,0,8,8,0,0,25
13,Accum,Accum_13 (1 D) (fn: RetileRow),560.0,25,-535.0,560.0,146,-414.0,0.0,121,121.0,1.0,1,0.0,1,16,16,0,120,146
14,Reshape,Reshape_14 (0 D) (chunk: 16),,25,,,145,,,120,,,16,,0,128,8,0,0,25
15,Flatten,"Flatten_15 (1 D, 2 D)",,25,,,145,,,120,,,16,,0,8,8,0,0,25
16,Accum,Accum_16 (1 D) (fn: RetileRow),543.0,25,-518.0,543.0,146,-397.0,0.0,121,121.0,1.0,1,0.0,1,16,16,0,120,146
17,Reshape,Reshape_17 (0 D) (chunk: 16),,25,,,145,,,120,,,16,,0,128,8,0,0,25
18,Flatten,"Flatten_18 (1 D, 2 D)",,25,,,145,,,120,,,16,,0,8,8,0,0,25
19,Accum,Accum_19 (1 D) (fn: RetileRow),547.0,25,-522.0,547.0,146,-401.0,0.0,121,121.0,1.0,1,0.0,1,16,16,0,120,146
20,Reshape,Reshape_20 (0 D) (chunk: 16),,25,,,145,,,120,,,16,,0,128,8,0,0,25
21,Flatten,"Flatten_21 (1 D, 2 D)",,25,,,145,,,120,,,16,,0,8,8,0,0,25
22,Accum,Accum_22 (1 D) (fn: RetileRow),549.0,25,-524.0,549.0,146,-403.0,0.0,121,121.0,1.0,1,0.0,1,16,16,0,120,146
23,Reshape,Reshape_23 (0 D) (chunk: 16),,25,,,145,,,120,,,16,,0,128,8,0,0,25
24,Flatten,"Flatten_24 (1 D, 2 D)",,25,,,145,,,120,,,16,,0,8,8,0,0,25
25,Accum,Accum_25 (1 D) (fn: RetileRow),545.0,25,-520.0,545.0,146,-399.0,0.0,121,121.0,1.0,1,0.0,1,16,16,0,120,146
26,Reshape,Reshape_26 (0 D) (chunk: 16),,25,,,145,,,120,,,16,,0,128,8,0,0,25
27,Flatten,"Flatten_27 (1 D, 2 D)",,25,,,145,,,120,,,16,,0,8,8,0,0,25
28,Accum,Accum_28 (1 D) (fn: RetileRow),547.0,25,-522.0,547.0,146,-401.0,0.0,121,121.0,1.0,1,0.0,1,16,16,0,120,146
29,RepeatStatic,RepeatStatic_29,,146,,,146,,,0,,,4,,0,0,0,0,0,146
30,RepeatStatic,RepeatStatic_30,,146,,,146,,,0,,,4,,0,0,0,0,0,146
31,RepeatStatic,RepeatStatic_31,,146,,,146,,,0,,,4,,0,0,0,0,0,146
32,RepeatStatic,RepeatStatic_32,,146,,,146,,,0,,,4,,0,0,0,0,0,146
33,RepeatStatic,RepeatStatic_33,,146,,,146,,,0,,,4,,0,0,0,0,0,146
34,RepeatStatic,RepeatStatic_34,,146,,,146,,,0,,,4,,0,0,0,0,0,146
35,RepeatStatic,RepeatStatic_35,,146,,,146,,,0,,,4,,0,0,0,0,0,146
36,RepeatStatic,RepeatStatic_36,,146,,,146,,,0,,,4,,0,0,0,0,0,146
37,LinearOffChipLoadRef,LinearOffChipLoadRef_37 (rank=0),551.0,146,-405.0,12817.0,12446,-371.0,12266.0,12300,34.0,4.0,4,3066.5,0,12300,3075,0,0,3221
38,LinearOffChipLoadRef,LinearOffChipLoadRef_38 (rank=0),562.0,146,-416.0,12855.0,12446,-409.0,12293.0,12300,7.0,4.0,4,3073.25,0,12300,3075,0,0,3221
39,LinearOffChipLoadRef,LinearOffChipLoadRef_39 (rank=0),562.0,146,-416.0,12867.0,12446,-421.0,12305.0,12300,-5.0,4.0,4,3076.25,0,12300,3075,0,0,3221
40,LinearOffChipLoadRef,LinearOffChipLoadRef_40 (rank=0),545.0,146,-399.0,10127.0,12446,2319.0,9582.0,12300,2718.0,4.0,4,2395.5,0,12300,3075,0,0,3221
